QueueSize,DeltaTime
0,52041664552
0,4420
0,3954
0,3784
0,7166
0,9283
0,4635
0,3911
0,4345
0,4269
0,5309
0,5586
0,4041
0,4092
0,3940
0,3867
0,4088
0,4008
0,3868
0,3821
0,3909
0,4098
0,3841
0,3782
0,3899
0,4137
0,4135
0,4149
0,4068
0,4240
0,3967
0,3947
0,4275
0,4446
0,4401
0,4139
0,3963
0,3950
0,3814
0,3914
0,4165
0,4192
0,4248
0,4018
0,4144
0,4281
0,4039
0,3996
0,3993
0,3922
0,3986
0,3964
0,4202
0,4107
0,4100
0,3862
0,3935
0,4267
0,4229
0,4043
0,4104
0,4108
0,3934
0,10436
0,4521
0,4002
0,3909
0,4018
0,4112
0,3907
0,4091
0,4046
0,3827
0,3924
0,3860
0,3857
0,3885
0,3929
0,3939
0,3807
0,3947
0,3808
0,3962
0,4052
0,3971
0,3917
0,4021
0,3873
0,3856
0,3882
0,3796
0,3892
0,3746
0,4098
0,3954
0,3830
0,3879
0,3782
0,3800
0,3779
0,4047
0,3900
0,3998
0,4134
0,3905
0,3901
0,3936
0,3860
0,3850
0,3896
0,3925
0,4252
0,4151
0,3815
0,3881
0,4000
0,3999
0,3783
0,4197
0,3827
0,3845
0,3866
0,3984
0,4241
0,7804
0,7307
0,3966
0,3995
0,3808
0,3808
0,3880
0,3984
0,4204
0,4258
0,3947
0,3977
0,4087
0,4550
0,4007
0,3838
0,3875
0,4073
0,5512
0,4194
0,4278
0,4147
0,4135
0,3807
0,3846
0,3892
0,3863
0,4166
0,3940
0,3947
0,3904
0,3962
0,4183
0,3902
0,4007
0,4104
0,4270
0,3838
0,3832
0,4101
0,3961
0,3908
0,3934
0,4168
0,3955
0,3851
0,3923
0,4331
0,3979
0,3877
0,4003
0,4176
0,3882
0,4201
0,4055
0,3923
0,4080
0,3957
0,4009
0,4254
0,3970
0,13044
0,4480
0,4202
0,4122
0,4304
0,4085
0,3795
0,3977
0,4233
0,3947
0,3898
0,4279
0,4025
0,3897
0,3936
0,3947
0,4222
0,4177
0,4034
0,3957
0,4047
0,3874
0,3948
0,3911
0,4015
0,4067
0,3860
0,4077
0,3923
0,4152
0,4054
0,4468
0,3904
0,4054
0,3795
0,3972
0,4076
0,4045
0,4033
0,4125
0,5610
0,4169
0,3977
0,4093
0,3864
0,3816
0,4111
0,3900
0,4171
0,4066
0,3835
0,4245
0,4255
0,3920
0,3843
0,4270
0,3896
